tech_id,一级方向,二级措施,适用园区,对象/工艺,关键输入参数,减排计算逻辑,经济性指标,主要约束,成熟度,计算或筛选方式,备注,参数状态,来源依据
T015,化工工艺,甲烷/VOC泄漏检测与修复,石化、天然气化工,阀门、储罐、管线,设备数、泄漏因子、检测频次,减少逸散温室气体/VOC,检测成本,监测覆盖,成熟,规则+排放模型,短期高性价比,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T016,化工工艺,CCUS,石化、煤化工、钢铁、水泥,高浓度CO2源,浓度、流量、运输、封存,捕集率×基准排放-能耗增排,元/tCO2,源汇匹配、能耗、责任,示范,GIS+网络优化,作为深度减排而非首选,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T017,先进制造,涂装线低碳改造,汽车/装备,前处理、喷涂、烘干,炉温、排风、VOC、产量,热回收+电气化+风量优化,回收期,质量、VOC安全,成熟,工艺模板,制造业Scope1重点,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T018,先进制造,压缩空气系统优化,全部制造,空压机/管网,压力、流量、泄漏、负荷,降低电耗,节电收益,生产稳定,成熟,规则诊断,需要在线监测,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T019,先进制造,高效电机与变频,全部制造,泵、风机、压缩机,功率、运行小时、负荷率,效率差×运行电量,回收期,工况匹配,成熟,设备清单批量筛选,适合自动生成项目,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T020,高新制造,洁净室HVAC优化,半导体、面板、电池,洁净室/干燥房,洁净等级、温湿度、换气次数,风量/温湿度优化降电耗,节电、良率影响,产品质量,成熟,数字孪生/控制优化,高新园区核心,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T021,电池制造,NMP回收与涂布烘箱优化,锂电,涂布烘干,NMP量、烘箱温区、排风,溶剂回收+热回收+控制,溶剂收益、节能,安全、回收纯度,成熟,行业模板,兼顾VOC和碳,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T022,电池制造,化成分容能量回馈,锂电,化成分容,充放电电量、回馈效率,回收放电能量,节电收益,电能质量,成熟,设备模型,直接量化,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T023,光伏/晶硅,单晶炉热场与排产优化,晶硅,拉棒炉,功率、周期、热场、良率,降低kWh/kg硅,单位成本,良率、设备约束,成熟,生产优化,可结合低碳时段排产,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T024,光伏/晶硅,超纯水闭路循环,晶硅/半导体,切片清洗,水量、水质、回收率,降低取水和处理能耗,水成本,水质、浓盐水,成熟,水系统优化,同时降低水碳,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T025,算力,液冷与自然冷源,数据中心,服务器冷却,IT负荷、气象、供回水温,降低PUE,TCO,可靠性、设备兼容,成熟,热工模型,按小时气象模拟,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T026,算力,算力负荷时空迁移,数据中心集群,任务调度,任务时限、电价、碳强度,转移到低碳低价时空,算力成本,延迟、网络,示范,调度优化,需结合业务时限、电价和碳强度设置调度约束,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T027,冶金,废钢-EAF路线提升,钢铁,炼钢,废钢供应、电价、产品要求,替代高炉-转炉排放,钢水成本,废钢质量、电网,成熟/转型,长期路线优化,存量高炉需分阶段,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T028,冶金,余热余压发电与煤气回收,钢铁/冶金,高炉、转炉、烧结,气量、温度、压力,替代外购电/燃料,回收期,气质、连续性,成熟,工艺网络优化,短中期措施,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T029,资源循环,工业共生供需匹配,化工、综合园区,蒸汽、氢、副产物、固废、水,供需量、品质、距离、时间,避免原生资源和处置排放,管网/物流成本,稳定性、责任,成熟,图匹配+网络流,园区级核心创新点,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T030,资源循环,再生水与浓水分质利用,全部,供排水系统,水质水量、用户要求,降低新水和处理能耗,水价、处理成本,水质、盐平衡,成熟,水网络优化,避免只看回用率,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T031,管理,能碳计量与M&V,全部,企业/设备,计量点、频率、基线,提高核算与项目核证质量,平台成本,数据权限,成熟,数据规则,是可信核算与项目核证的数据基础,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T032,管理,产品碳足迹与供应链协同,外向制造、新能源,产品/供应商,物料、运输、能源、供应商因子,识别Scope3热点,认证与采购成本,数据共享,成熟,RAG+计算,支持绿色供应链,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T033,金融,项目组合与绿色融资,全部,项目包,CAPEX、现金流、减排、风险,选择预算约束下最优组合,NPV、IRR、MACC,融资、建设周期,成熟,多目标优化,输出可融资项目包,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T034,能源供给,集中式风电/光伏基地配套,资源富集型、外送受限型,园区外可再生能源基地,资源小时数、土地、接入容量、送电距离,可再生发电量×被替代电力排放因子,LCOE、输电成本、弃电率,用地、并网、消纳,成熟,容量规划,需区分园内与园外资产,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T035,能源供给,燃气冷热电三联供优化,热冷电同时需求且气源稳定,燃气轮机/内燃机+余热,电热冷负荷、效率、气价、电价,与分供系统基准比较一次能源与排放,年化成本、一次能源节约率,气源、碳锁定、运行小时,成熟,综合能源优化,高绿电地区可能不是最优,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T036,供热供冷,蒸汽管网降压与凝结水回收,化工、食品、造纸、纺织,蒸汽管网和用户端,压力、温度、流量、回水率、泄漏率,减少补水加热与蒸汽损失对应燃料,蒸汽节约、回收期,腐蚀、水质、用户压力,成熟,规则诊断+网络模型,适合短期项目,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T037,供热供冷,工业炉窑富氧/低氮燃烧优化,陶瓷、玻璃、冶金、化工,窑炉、加热炉,过量空气系数、烟气氧含量、炉温,燃料节约量×排放因子,燃料成本、改造费,产品质量、NOx、安全,成熟,设备诊断,与电气化路线比较,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T038,化工工艺,过程强化与连续化改造,精细化工、医药、新材料,间歇反应、混合、传质,批次周期、收率、温压、溶剂,单位产品能耗/物耗下降,产能提升、收率收益、CAPEX,安全、放大、产品一致性,示范/成熟,工艺模板+专家规则,需工艺包支持,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T039,化工工艺,催化剂升级与反应条件优化,石化、化工、材料,催化反应器,转化率、选择性、温压、寿命,能耗下降+原料损失减少,催化剂成本、收率收益,产品质量、供应稳定,成熟/研发,知识库筛选,需要企业实验数据,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T040,化工工艺,低碳蒸汽与电加热耦合,化工、制药、新材料,反应加热、再沸器、干燥,温度等级、蒸汽负荷、电价、绿电,按小时选择低碳热源,LCOH、容量电费,温度、网架、连续性,成熟,热源组合优化,避免简单全电化,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T041,化工工艺,溶剂回收与替代,精细化工、医药、涂布,蒸馏、吸附、膜分离,溶剂种类、浓度、回收率、蒸汽,减少原生溶剂+处理能耗,溶剂回收价值、回收期,纯度、安全、共沸,成熟,物料平衡+技术匹配,同时控制VOCs,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T042,先进制造,铸造熔炼炉电气化与保温优化,装备、汽车零部件、金属加工,冲天炉、燃气炉、感应炉,熔化量、炉效、电价、燃料价,替代燃料+降低散热损失,单位熔化成本、CAPEX,电网、金属质量,成熟,工艺替代模型,需考虑峰谷排产,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T043,先进制造,焊接与机加工设备待机管理,装备、汽车、机械,焊机、机床、机器人,待机功率、运行班次、设备数,减少待机电量,节电、控制改造费,生产节拍,成熟,设备清单批量诊断,低成本措施,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T044,先进制造,低温脱脂/前处理药剂替代,汽车、家电、金属表面处理,涂装前处理,槽温、药剂、产量、质量要求,降低热水/蒸汽需求,药剂成本、燃料节约,涂层质量、废水,成熟,行业模板,可与热泵联动,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T045,高新制造,干燥房除湿再生热优化,锂电、电子材料,低露点干燥房,露点、风量、再生温度、负荷,风量与再生热下降,节电节热、良率,露点和产品质量,成熟,HVAC模型,锂电核心负荷,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T046,高新制造,真空系统集中化与变频控制,半导体、光伏、医药,真空泵组,真空度、流量、负荷曲线,泵效率和负载匹配节电,节电、维护费,污染隔离、可靠性,成熟,设备模型,需按工艺气体分组,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T047,电池制造,电极干法制造,动力/储能电池,电极制备,产品路线、产能、良率、设备参数,减少溶剂、烘干和回收能耗,CAPEX、OPEX、良率,技术路线、规模化成熟度,示范,长期技术情景,不可作为短期确定项目,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T048,电池制造,废旧电池梯次利用与再生,电池产业链,退役电池、湿法/火法回收,回收量、成分、回收率、运输,替代原生金属生产排放,材料价值、处理成本,来源、责任、安全,成熟/提升,物质流+网络优化,需避免双重计算,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T049,光伏/晶硅,还原炉电耗与余热优化,多晶硅,西门子还原炉,单位电耗、尾气、余热温位,降低kWh/kg并回收热量,电费、技改投资,纯度、连续性,成熟,行业基准诊断,高耗电关键环节,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T050,光伏/晶硅,金刚线切割与硅粉回收,硅片,切片、清洗,线耗、切损、硅粉量、水耗,提高出片率并回收材料,硅料收益、废物处理费,片厚、良率,成熟,物料平衡,兼顾水资源,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T051,算力,服务器利用率与电源管理优化,数据中心,IT设备,CPU/GPU利用率、任务负载、SLA,减少闲置IT电耗,算力利用率、TCO,SLA、可靠性,成熟,调度算法,比单纯PUE更完整,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T052,算力,数据中心余热外供,靠近供热用户的数据中心,冷却水余热,水温、热量、距离、热用户曲线,替代锅炉或热泵供热,管网+热泵LCOH,温位、季节匹配,示范/成熟,热网匹配,需地理数据,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T053,冶金,高炉煤气/转炉煤气精细调度,钢铁联合企业,煤气柜、锅炉、加热炉,煤气产量、热值、用户负荷,减少放散和外购燃料,燃料收益、放散损失,气柜、安全、连续性,成熟,多气源调度,小时级数据,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T054,冶金,氢基直接还原铁路线,钢铁、绿氢资源型,DRI+EAF,氢价、矿品位、电价、产能,替代焦炭还原排放,钢水成本、碳价临界点,绿氢、矿石、电网,示范,长期路线情景,分阶段规划,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T055,冶金,铝电解槽节能与柔性负荷,电解铝,电解槽,直流电耗、槽温、可调幅度,降低单位电耗+低碳时段运行,电费、产量影响,槽稳定、连续性,成熟/示范,设备+需求响应模型,高电力强度,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T056,造纸/轻工,黑液回收锅炉与碱回收优化,制浆造纸,蒸煮黑液、回收锅炉,黑液固形物、蒸汽、电量,生物质能回收替代化石燃料,蒸汽电力收益、化学品回收,腐蚀、污染控制,成熟,行业模板,需区分生物碳口径,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T057,纺织印染,低浴比染色与废水余热回收,纺织印染,染色机、定型机、废水,浴比、水温、流量、回收温差,减少水、蒸汽和废水处理能耗,水汽节约、回收期,色差、污堵,成熟,行业模板,水碳协同,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T058,陶瓷/玻璃,窑炉余热干燥与高效烧成,陶瓷、玻璃,辊道窑、玻璃窑,烟气温度、产品曲线、燃料,回收烟气热并降低燃料,燃料节约、CAPEX,产品质量、腐蚀,成熟,热平衡模型,与氢/电窑情景比较,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T059,交通物流,新能源重卡与短倒运输电动化,港口、钢铁、化工、矿业,园内物流车辆,里程、载重、充换电、油耗,柴油替代电/氢的全生命周期差,TCO、补能设施投资,续航、载重、安全,成熟/示范,车队更新优化,按线路匹配技术,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T060,交通物流,铁路/水运替代公路干线,港口、大宗物料园区,原料与产品运输,货量、距离、线路能力,运输方式排放因子差,物流成本、装卸投资,线路、时效,成熟,物流网络优化,Scope 3措施,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T061,资源循环,有机废物厌氧消化与沼气利用,食品、农业、生物医药,高浓有机废水/废物,COD、含固率、气产率,甲烷回收+替代燃料,沼气收益、处理成本,稳定性、臭气、消纳,成熟,物料能量平衡,监控甲烷泄漏,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T062,资源循环,固废协同处置与替代原料,水泥、冶金、化工、综合园区,炉渣、粉煤灰、废盐等,成分、量、距离、替代率,减少处置与原生材料排放,处置费、原料收益,质量、危废许可,成熟,供需匹配,需严格合规,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T063,管理,数字孪生与先进过程控制APC,化工、冶金、制造、能源站,关键装置与公用工程,实时测点、控制变量、约束,稳定工况、降低波动和过量能耗,节能、增产、质量收益,数据质量、控制权限,成熟,控制优化接口,平台提供策略建议，不直接接管生产控制,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T064,管理,异常能耗检测与预测性维护,全部,设备和产线,时序测点、工况、故障记录,避免效率劣化和泄漏,节能、停机损失,数据覆盖、误报,成熟,时序异常模型,可做早期Demo,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T065,金融,边际减排成本曲线MACC,全部,项目组合,减排量、CAPEX、OPEX、寿命,单位全生命周期净成本/减排量,元/tCO2e、NPV,基线一致、项目交互,成熟,项目排序+优化,不能忽略项目互斥与依赖,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T066,金融,碳资产与绿色电力合同风险管理,外向型、高耗能园区,配额、绿证、PPA,碳价、绿证价、合同期限、用电,市场工具补足剩余排放和价格风险,风险价值、套保成本,额外性、合规、价格波动,成熟,情景与风险模型,最后补足，不替代实质减排,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
